date,scraped_at,tt_buying,tt_selling
2026-08-25,2026-08-25T00:00:00,325.0,332.25
2026-09-01,2026-09-01T13:59:14,324.5,331.75
2026-09-04,2026-09-04T16:04:47,325.0,332.25
2026-09-05,2026-09-05T08:52:38,325.0,332.25
2026-09-06,2026-09-06T09:12:28,325.0,332.25
2026-09-07,2026-09-07T10:00:39,324.75,332.0
2026-09-08,2026-09-08T09:25:34,324.75,332.0
2026-09-09,2026-09-09T09:27:03,325.0,332.25
2026-09-10,2026-09-10T09:26:18,325.0,332.25
2026-09-11,2026-09-11T09:25:02,325.0,332.25
2026-09-12,2026-09-12T09:04:37,325.0,332.25
2026-09-13,2026-09-13T10:03:01,325.0,332.25
2026-09-14,2026-09-14T10:23:32,324.5,331.75
2026-09-15,2026-09-15T09:49:42,326.25,333.5
